"","Departamento","year","alumnosMatriculados","analfabetismo","compLectora","docentes","gastoPublico","matematica","pbiRegiones","pobTot","pobUrb","tasaConclusion","tasaDesnutricion","tasaMatricula","deaNaive","deaRobust","ciLow","ciHigh","docAlum","nivelUrb"
"61","Puno","2015",100.273,9.40701914588115,12.2461119889794,21018,3302.64512659248,5.10332938871613,22.6592037617722,1191845.8,618188.4,44.4064813495408,14.540209647804,86.0612536512603,0.938579939212373,0.905560733654012,0.891356851676077,0.924650608972589,9.885042,51.8681527425779
"62","Puno","2016",99.128,9.24983593249828,12.198484612984,21649,3834,8.1887020742232,24.1387446042878,1182271.4,624418.2,43.0174161971402,16.3908668805967,89.7842703515611,0.966779105442241,0.930875539973337,0.917134797735844,0.951046516421658,9.09216998229223,52.8151319570109
"63","Puno","2018",91.023,8.74626908466946,13.6061536880113,22339,5035.27790896299,10.5793191819824,25.7070477375909,1163122.6,636877.8,42.5728281089242,14.964711481169,90.5366937812852,0.994140766027304,0.969835574780377,0.960753443430367,0.981647999667923,8.58758343070506,54.7558615059152
"64","Región Lima","2015",58.034,4.48073133040428,6.8191958836928,12481,3270.33345845828,9.96638115211383,42.5342147327211,896238.6,729651.6,52.2880346221942,9.68842311627719,88.8557721166294,0.992576575433932,0.95311931867881,0.933831987510544,0.983798091671473,9.203267,81.4126506044261
"65","Región Lima","2016",58.688,4.96985283783812,7.21308691943737,12744,3188,12.9642452090995,42.9442808775695,903334.8,743330.8,50.6333580792507,5.86837914766605,92.4173671912444,1,0.933907868945407,0.89147998274471,0.974634025702476,8.71818355183576,82.2874088322513
"66","Región Lima","2018",59.972,4.37799848749412,10.0793676616776,13146,4224.40220243849,13.8639758364313,45.6950475141824,917527.2,770689.2,50.4958083951244,6.74774058647612,89.8048022097432,1,0.962232949302858,0.939921857500185,0.989359412714287,10.5245178385038,83.9963327517702
"67","San Martín","2015",65.109,6.79258075496517,6.97842681108653,12440,3100.74320768301,3.49678692299671,14.5382121475666,796466.4,528777.4,38.6965822214727,16.3135505448815,82.3664461175755,0.901626959242638,0.87134770970013,0.859560933060775,0.888256755474822,13.16572,66.3904214917289
"68","San Martín","2016",68.236,7.14566911454729,6.95739604599433,13705,2982,4.95518403642316,14.8622633932015,804923.7,541428.2,39.2843195744332,12.0717386667988,76.4202242383427,0.841817430162875,0.801631006960244,0.781751001127864,0.831270973715913,12.0367772694318,67.2645369989727
"69","San Martín","2018",72.572,7.31357115252317,7.89587738133264,14746,3612.62129403097,6.10861826961658,16.1232150598548,821838.3,566729.8,39.4059682140461,10.5391478523394,80.1484724361665,0.887915590093721,0.862456337005524,0.850377185478264,0.883817403447561,13.5648643405486,68.958796395836
"70","Tacna","2015",20.366,3.88830774513566,26.0731885723169,4046,3160.35879049381,23.2255282476806,17.5492708640852,321221.8,287216,48.6125954541497,2.6,91.6930461176063,1,0.918919611709536,0.858993794450592,1.02499180459473,8.622661,89.413607669218
"71","Tacna","2016",21.754,4.46522410544136,28.8705897534601,4387,3685,30.2681386373229,17.3041732159907,325276.9,292002,46.4263739185872,2.3,90.9900809262078,1,0.902323163309022,0.827895375640635,1.06095478933178,8.27739476676934,89.7702849479936
"72","Tacna","2018",22.126,3.22333349572742,31.1072116070463,4579,4534.83284354262,30.9709255067709,18.9132483849433,333387.1,301574,46.5690370747405,1.3,90.4815725005495,1,0.937629109094717,0.890568202913473,1.02301909980643,10.1257371844155,90.457609187638
"73","Tumbes","2015",14.67,3.01039499952665,8.24541924367582,3824,4332.69888547322,3.45654868145069,6.75771889370281,219951.6,204674,47.9520081478957,9.11379136056968,89.9894631035319,0.982522378921783,0.950882088532005,0.938987936354711,0.968652822130164,10.74929,93.0541082674552
"74","Tumbes","2016",15.113,3.02809576271565,9.00144135936199,3870,4250,4.9627450366387,6.66835552789547,222407.3,207633,48.1245978711644,7.3520634124962,91.4451056389471,0.987965745008583,0.949297817524329,0.933898183258344,0.971919586535751,10.5886613430716,93.3570975413127
"75","Tumbes","2018",16.015,2.99893424193421,9.31516301031127,4244,4874.58353335845,6.09523438315497,7.35436298016186,227318.7,213551,49.2493320632819,8.08214163366788,88.5084236347025,0.984658997424086,0.953935175227515,0.937733242489285,0.976978419797391,11.0562647879179,93.943437121539
"76","Ucayali","2015",35.993,4.60503752187311,6.67945897703753,7566,2646.2030551734,2.06520787229076,11.073275300338,483599,385374.2,49.3599591964451,24.0027339664099,72.9452233327738,0.870738220637784,0.822266869885133,0.79100018084846,0.883508167725957,9.783632,79.6887917468812
"77","Ucayali","2016",38.015,4.73599117897773,6.00014655170862,8061,2601,3.1986900058405,11.1083052078097,490029,393759.1,49.3070500097736,24.834365099337,80.0459445995845,1,0.902416138910104,0.828392424567713,1.05951937508185,9.216095183308,80.3542443406411
"78","Ucayali","2018",42.54,4.47616961005004,6.63936839814676,8772,3243.25236566202,4.05808139495573,11.8093767703122,502889,410528.9,49.202109028467,17.7669258392644,78.1480790335877,0.930359604679081,0.89151791480237,0.866219534035712,0.943115239921854,10.3367592246715,81.6340981807119
